Name,Address,City,CountryCode,Weekdays,Start_Hours,Start_Minutes,End_Hour,End_Minutes,Rating
5 & Dime Bagels,16 Katherine Pl,Melbourne,AU,5,11,00,22,00,4.0
5 & Dime Bagels,16 Katherine Pl,Melbourne,AU,6,11,00,21,00,4.0
5 Boroughs,405 Logan Rd,Brisbane,AU,1,11,00,21,00,3.0
5 Boroughs,405 Logan Rd,Brisbane,AU,2,11,00,21,00,3.0
5 Boroughs,405 Logan Rd,Brisbane,AU,3,11,00,21,00,3.0
5 Boroughs,405 Logan Rd,Brisbane,AU,4,11,00,22,00,3.0
5 Boroughs,405 Logan Rd,Brisbane,AU,5,09,00,22,00,3.0
5 Boroughs,405 Logan Rd,Brisbane,AU,6,09,00,21,00,3.0
5 Rabanitos Restaurante and Taqueria,1758 W 18th Street,Chicago,US,0,11,00,23,00,4.0
5 Rabanitos Restaurante and Taqueria,1758 W 18th Street,Chicago,US,1,11,00,23,00,4.0
5 Rabanitos Restaurante and Taqueria,1758 W 18th Street,Chicago,US,2,11,00,23,00,4.0
5 Rabanitos Restaurante and Taqueria,1758 W 18th Street,Chicago,US,3,11,00,23,00,4.0
5 Rabanitos Restaurante and Taqueria,1758 W 18th Street,Chicago,US,4,11,00,00,00,4.0
5 Rabanitos Restaurante and Taqueria,1758 W 18th Street,Chicago,US,5,11,00,00,00,4.0
5 Rabanitos Restaurante and Taqueria,1758 W 18th Street,Chicago,US,6,11,00,00,00,4.0
5 Spices House,58 Beach St,Boston,US,0,08,00,23,00,3.5
5 Spices House,58 Beach St,Boston,US,1,08,00,23,00,3.5
5 Spices House,58 Beach St,Boston,US,2,08,00,23,00,3.5
5 Spices House,58 Beach St,Boston,US,3,08,00,23,00,3.5
5 Spices House,58 Beach St,Boston,US,4,08,00,23,00,3.5
5 Spices House,58 Beach St,Boston,US,5,08,00,15,00,3.5
5 Spices House,58 Beach St,Boston,US,5,17,00,00,00,3.5
5 Spices House,58 Beach St,Boston,US,6,08,00,15,00,3.5
5 Spices House,58 Beach St,Boston,US,6,17,00,00,00,3.5
5 Spot,1502 Queen Anne Ave N,Seattle,US,0,11,00,21,00,4.0
5 Spot,1502 Queen Anne Ave N,Seattle,US,1,11,00,21,00,4.0
5 Spot,1502 Queen Anne Ave N,Seattle,US,2,11,00,21,00,4.0
5 Spot,1502 Queen Anne Ave N,Seattle,US,3,11,00,21,00,4.0
5 Spot,1502 Queen Anne Ave N,Seattle,US,4,11,00,23,00,4.0
5 Spot,1502 Queen Anne Ave N,Seattle,US,5,11,00,22,00,4.0
500 Degrees New York Style Pizzeria,6037 South Blvd,Charlotte,US,0,07,00,21,00,4.0
500 Degrees New York Style Pizzeria,6037 South Blvd,Charlotte,US,1,07,00,21,00,4.0
500 Degrees New York Style Pizzeria,6037 South Blvd,Charlotte,US,2,07,00,21,00,4.0
500 Degrees New York Style Pizzeria,6037 South Blvd,Charlotte,US,3,07,00,21,00,4.0
500 Degrees New York Style Pizzeria,6037 South Blvd,Charlotte,US,4,07,00,21,00,4.0
500 Degrees New York Style Pizzeria,6037 South Blvd,Charlotte,US,5,07,00,21,00,4.0
500 Degrees New York Style Pizzeria,6037 South Blvd,Charlotte,US,6,07,00,15,00,4.0
50's Diner Omelet House,3050 E Desert Inn Rd,Las Vegas,US,0,11,00,22,00,4.0
50's Diner Omelet House,3050 E Desert Inn Rd,Las Vegas,US,1,11,00,22,00,4.0
50's Diner Omelet House,3050 E Desert Inn Rd,Las Vegas,US,2,11,00,22,00,4.0
50's Diner Omelet House,3050 E Desert Inn Rd,Las Vegas,US,3,11,00,22,00,4.0
50's Diner Omelet House,3050 E Desert Inn Rd,Las Vegas,US,4,11,00,23,00,4.0
50's Diner Omelet House,3050 E Desert Inn Rd,Las Vegas,US,5,11,00,23,00,4.0
50's Diner Omelet House,3050 E Desert Inn Rd,Las Vegas,US,6,11,00,22,00,4.0
5280 Burger Bar,500 16th St,Denver,US,0,15,00,22,00,4.0
5280 Burger Bar,500 16th St,Denver,US,1,15,00,22,00,4.0
5280 Burger Bar,500 16th St,Denver,US,2,15,00,22,00,4.0
5280 Burger Bar,500 16th St,Denver,US,3,15,00,22,00,4.0
5280 Burger Bar,500 16th St,Denver,US,4,15,00,00,00,4.0
5280 Burger Bar,500 16th St,Denver,US,5,14,00,00,00,4.0
5280 Burger Bar,500 16th St,Denver,US,6,14,00,22,00,4.0
5280 Sliders,3242 E Colfax Ave,Denver,US,0,07,00,16,00,4.5
5280 Sliders,3242 E Colfax Ave,Denver,US,1,07,00,16,00,4.5
5280 Sliders,3242 E Colfax Ave,Denver,US,2,07,00,16,00,4.5
5280 Sliders,3242 E Colfax Ave,Denver,US,3,07,00,16,00,4.5
5280 Sliders,3242 E Colfax Ave,Denver,US,4,07,00,16,00,4.5
580 Bench,580 Saint Kilda Rd,Melbourne,AU,0,11,00,22,00,5.0
580 Bench,580 Saint Kilda Rd,Melbourne,AU,1,11,00,22,00,5.0
580 Bench,580 Saint Kilda Rd,Melbourne,AU,2,11,00,22,00,5.0
580 Bench,580 Saint Kilda Rd,Melbourne,AU,3,11,00,23,00,5.0
580 Bench,580 Saint Kilda Rd,Melbourne,AU,4,11,00,02,00,5.0
580 Bench,580 Saint Kilda Rd,Melbourne,AU,5,11,00,02,00,5.0
