Publish_Dates,Mains,Sources,Document_Types,Web_Urls,New_Desks,Section_Names,Snippets
2017-02-08,What Jobs Are You Most Curious About?,The New York Times,article,http://www.nytimes.com/2017/02/08/learning/what-is-it-really-like-to-be-a-professional-ballet-dancer.html,Learning,The Learning Network,What professions would you like to see featured in a day-in-the-life article and video?...
2017-02-08,Can a Researcher Studying an Alzheimer’s Treatment Try It on Himself?,The New York Times,article,http://www.nytimes.com/2017/02/08/magazine/can-a-researcher-studying-an-alzheimers-treatment-try-it-on-himself.html,Magazine,Magazine,"The magazine’s Ethicist columnist on self-administering an untested therapy, lying to your dementia-afflicted mother and unequal pay...."
2017-02-08,"Where Have You Gone, Angelina Jolie? Celebrities Vanish From Fashion’s Front Row",The New York Times,article,http://www.nytimes.com/2017/02/08/fashion/new-york-fashion-week-celebrities-front-row.html,Styles,Fashion & Style,Shrinking budgets and the specter of overexposure have reduced the ranks of megastars lending their wattage....
2017-02-08,When Celebrities Ruled the Front Row,The New York Times,multimedia,http://www.nytimes.com/slideshow/2017/02/08/fashion/new-york-fashion-week-celebrities-front-row.html,Fashion & Style,Fashion & Style,"Photos of Beyoncé, Victoria Beckham, Jennifer Lopez and more at New York Fashion Week...."
2017-02-08,Questions for: ‘Betsy DeVos Confirmed as Education Secretary; Pence Breaks Tie’,The New York Times,article,http://www.nytimes.com/2017/02/08/learning/questions-for-betsy-devos-confirmed-as-education-secretary-pence-breaks-tie.html,Learning,The Learning Network,Will Betsy DeVos keep the best interests of all students in mind when she makes decisions in her job as secretary of education?...
2017-02-08,How the Anti-Vaxxers Are Winning,The New York Times,article,http://www.nytimes.com/2017/02/08/opinion/how-the-anti-vaxxers-are-winning.html,OpEd,Opinion,A major measles outbreak in America is only a matter of time....
2017-02-08,A Conservative Case for Climate Action,The New York Times,article,http://www.nytimes.com/2017/02/08/opinion/a-conservative-case-for-climate-action.html,OpEd,Opinion,"Our idea would reduce carbon emissions, limit regulatory intrusion, promote economic growth and help working-class Americans...."
2017-02-08,Preparing Young Americans for a Complex World,The New York Times,article,http://www.nytimes.com/2017/02/08/opinion/preparing-young-americans-for-a-complex-world.html,OpEd,Opinion,"When students explore foreign cultures, they learn not just about others, but also about themselves...."
2017-02-08,American Universities Must Take a Stand,The New York Times,article,http://www.nytimes.com/2017/02/08/opinion/american-universities-must-take-a-stand.html,OpEd,Opinion,"Our cause is not partisan. It is to defend the pursuit of science, truth and freedom of thought...."
2017-02-08,Republicans Have Lost the Plot on Their Obamacare Repeal,The New York Times,article,http://www.nytimes.com/2017/02/08/opinion/republicans-have-lost-the-plot-on-their-obamacare-repeal.html,Editorial,Opinion,It’s increasingly evident that they have no workable plan and might never come up with one....
